species,state,section,metric,value
Artemisia_annua,after,ncrna,Total ncrna_gene length (bp),14920722.0
Artemisia_annua,after,ncrna,Total ncrna length (bp),14920722.0
Artemisia_annua,after,ncrna,Total exon length (bp),6100564.0
Artemisia_annua,after,ncrna,Total intron length per exon (bp),8820158.0
Artemisia_annua,after,ncrna,mean ncrna_gene length (bp),4143.0
Artemisia_annua,after,ncrna,mean ncrna length (bp),4143.0
Artemisia_annua,after,ncrna,mean exon length (bp),423.0
Artemisia_annua,after,ncrna,mean intron in exon length (bp),815.0
Artemisia_annua,after,ncrna,median ncrna_gene length (bp),3064.0
Artemisia_annua,after,ncrna,median ncrna length (bp),3064.0
Artemisia_annua,after,ncrna,median exon length (bp),198.0
Artemisia_annua,after,ncrna,median intron in exon length (bp),205.0
Artemisia_annua,after,ncrna,90 percentile ncrna_gene length (bp),8611.0
Artemisia_annua,after,ncrna,90 percentile ncrna length (bp),8611.0
Artemisia_annua,after,ncrna,90 percentile exon length (bp),1105.0
Artemisia_annua,after,ncrna,90 percentile intron in exon length (bp),1360.0
Artemisia_annua,after,ncrna,Longest ncrna_gene (bp),37895.0
Artemisia_annua,after,ncrna,Longest ncrna (bp),37895.0
Artemisia_annua,after,ncrna,Longest exon (bp),17289.0
Artemisia_annua,after,ncrna,Longest intron into exon part (bp),19934.0
Artemisia_annua,after,ncrna,Shortest ncrna_gene (bp),345.0
Artemisia_annua,after,ncrna,Shortest ncrna (bp),345.0
Artemisia_annua,after,ncrna,Shortest intron into exon part (bp),20.0
Cucumber,before,mrna,Number of gene,24317.0
Cucumber,before,mrna,Number of mrna,24317.0
Cucumber,before,mrna,Number of mrnas with utr both sides,14834.0
Cucumber,before,mrna,Number of mrnas with at least one utr,16098.0
Cucumber,before,mrna,Number of cds,24317.0
Cucumber,before,mrna,Number of exon,127080.0
Cucumber,before,mrna,Number of five_prime_utr,15483.0
Cucumber,before,mrna,Number of three_prime_utr,15449.0
Cucumber,before,mrna,Number of exon in cds,121072.0
Cucumber,before,mrna,Number of exon in five_prime_utr,19248.0
Cucumber,before,mrna,Number of exon in three_prime_utr,17611.0
Cucumber,before,mrna,Number of intron in cds,96755.0
Cucumber,before,mrna,Number of intron in exon,102763.0
Cucumber,before,mrna,Number of intron in five_prime_utr,3765.0
Cucumber,before,mrna,Number of intron in three_prime_utr,2162.0
Cucumber,before,mrna,Number gene overlapping,1582.0
Cucumber,before,mrna,Number of single exon gene,4893.0
Cucumber,before,mrna,Number of single exon mrna,4893.0
Cucumber,before,mrna,mean mrnas per gene,1.0
Cucumber,before,mrna,mean cdss per mrna,1.0
Cucumber,before,mrna,mean exons per mrna,5.2
Cucumber,before,mrna,mean five_prime_utrs per mrna,0.6
Cucumber,before,mrna,mean three_prime_utrs per mrna,0.6
Cucumber,before,mrna,mean exons per cds,5.0
Cucumber,before,mrna,mean exons per five_prime_utr,1.2
Cucumber,before,mrna,mean exons per three_prime_utr,1.1
Cucumber,before,mrna,mean introns in cdss per mrna,4.0
Cucumber,before,mrna,mean introns in exons per mrna,4.2
Cucumber,before,mrna,mean introns in five_prime_utrs per mrna,0.2
Cucumber,before,mrna,mean introns in three_prime_utrs per mrna,0.1
Cucumber,before,mrna,Total gene length (bp),97294772.0
Cucumber,before,mrna,Total mrna length (bp),97294772.0
Cucumber,before,mrna,Total cds length (bp),27434670.0
Cucumber,before,mrna,Total exon length (bp),41764751.0
Cucumber,before,mrna,Total five_prime_utr length (bp),5363263.0
Cucumber,before,mrna,Total three_prime_utr length (bp),8966818.0
Cucumber,before,mrna,Total intron length per cds (bp),51590064.0
Cucumber,before,mrna,Total intron length per exon (bp),55530021.0
Cucumber,before,mrna,Total intron length per five_prime_utr (bp),2365716.0
Cucumber,before,mrna,Total intron length per three_prime_utr (bp),1515524.0
Cucumber,before,mrna,mean gene length (bp),4001.0
Cucumber,before,mrna,mean mrna length (bp),4001.0
Cucumber,before,mrna,mean cds length (bp),1128.0
Cucumber,before,mrna,mean exon length (bp),329.0
Cucumber,before,mrna,mean five_prime_utr length (bp),346.0
Cucumber,before,mrna,mean three_prime_utr length (bp),580.0
Cucumber,before,mrna,mean cds piece length (bp),227.0
Cucumber,before,mrna,mean five_prime_utr piece length (bp),279.0
Cucumber,before,mrna,mean three_prime_utr piece length (bp),509.0
Cucumber,before,mrna,mean intron in cds length (bp),533.0
Cucumber,before,mrna,mean intron in exon length (bp),540.0
Cucumber,before,mrna,mean intron in five_prime_utr length (bp),628.0
Cucumber,before,mrna,mean intron in three_prime_utr length (bp),701.0
Cucumber,before,mrna,median gene length (bp),2883.0
Cucumber,before,mrna,median mrna length (bp),2883.0
Cucumber,before,mrna,median cds length (bp),131.0
Cucumber,before,mrna,median exon length (bp),155.0
Cucumber,before,mrna,median five_prime_utr length (bp),209.0
Cucumber,before,mrna,median three_prime_utr length (bp),361.0
Cucumber,before,mrna,median cds piece length (bp),131.0
Cucumber,before,mrna,median five_prime_utr piece length (bp),209.0
Cucumber,before,mrna,median three_prime_utr piece length (bp),361.0
Cucumber,before,mrna,median intron in cds length (bp),194.0
Cucumber,before,mrna,median intron in exon length (bp),201.0
Cucumber,before,mrna,median intron in five_prime_utr length (bp),342.0
Cucumber,before,mrna,median intron in three_prime_utr length (bp),299.0
Cucumber,before,mrna,90 percentile gene length (bp),8126.0
Cucumber,before,mrna,90 percentile mrna length (bp),8126.0
Cucumber,before,mrna,90 percentile cds length (bp),471.0
Cucumber,before,mrna,90 percentile exon length (bp),766.0
Cucumber,before,mrna,90 percentile five_prime_utr length (bp),572.0
Cucumber,before,mrna,90 percentile three_prime_utr length (bp),956.0
Cucumber,before,mrna,90 percentile cds piece length (bp),471.0
Cucumber,before,mrna,90 percentile five_prime_utr piece length (bp),572.0
Cucumber,before,mrna,90 percentile three_prime_utr piece length (bp),956.0
Cucumber,before,mrna,90 percentile intron in cds length (bp),1117.0
Cucumber,before,mrna,90 percentile intron in exon length (bp),1137.0
Cucumber,before,mrna,90 percentile intron in five_prime_utr length (bp),1345.0
Cucumber,before,mrna,90 percentile intron in three_prime_utr length (bp),1495.0
Cucumber,before,mrna,Longest gene (bp),192270.0
Cucumber,before,mrna,Longest mrna (bp),192270.0
Cucumber,before,mrna,Longest cds (bp),16284.0
Cucumber,before,mrna,Longest exon (bp),12493.0
Cucumber,before,mrna,Longest five_prime_utr (bp),6701.0
Cucumber,before,mrna,Longest three_prime_utr (bp),12453.0
Cucumber,before,mrna,Longest cds piece (bp),8010.0
Cucumber,before,mrna,Longest five_prime_utr piece (bp),6280.0
Cucumber,before,mrna,Longest three_prime_utr piece (bp),12453.0
Cucumber,before,mrna,Longest intron into cds part (bp),192000.0
Cucumber,before,mrna,Longest intron into exon part (bp),192000.0
Cucumber,before,mrna,Longest intron into five_prime_utr part (bp),13472.0
Cucumber,before,mrna,Longest intron into three_prime_utr part (bp),52231.0
Cucumber,before,mrna,Shortest gene (bp),76.0
Cucumber,before,mrna,Shortest mrna (bp),76.0
Cucumber,before,mrna,Shortest cds piece (bp),1.0
Cucumber,before,mrna,Shortest five_prime_utr piece (bp),1.0
Cucumber,before,mrna,Shortest three_prime_utr piece (bp),1.0
Cucumber,before,mrna,Shortest intron into cds part (bp),21.0
Cucumber,before,mrna,Shortest intron into exon part (bp),20.0
Cucumber,before,mrna,Shortest intron into five_prime_utr part (bp),24.0
Cucumber,before,mrna,Shortest intron into three_prime_utr part (bp),20.0
Cucumber,after,mrna,Number of gene,24145.0
Cucumber,after,mrna,Number of mrna,24145.0
Cucumber,after,mrna,Number of mrnas with utr both sides,20263.0
Cucumber,after,mrna,Number of mrnas with at least one utr,21009.0
Cucumber,after,mrna,Number of cds,24142.0
Cucumber,after,mrna,Number of exon,127343.0
Cucumber,after,mrna,Number of five_prime_utr,20636.0
Cucumber,after,mrna,Number of three_prime_utr,20636.0
Cucumber,after,mrna,Number of exon in cds,117602.0
Cucumber,after,mrna,Number of exon in five_prime_utr,26718.0
Cucumber,after,mrna,Number of exon in three_prime_utr,24162.0
Cucumber,after,mrna,Number of intron in cds,93460.0
Cucumber,after,mrna,Number of intron in exon,103198.0
Cucumber,after,mrna,Number of intron in five_prime_utr,6082.0
Cucumber,after,mrna,Number of intron in three_prime_utr,3526.0
Cucumber,after,mrna,Number gene overlapping,1156.0
Cucumber,after,mrna,Number of single exon gene,5299.0
Cucumber,after,mrna,Number of single exon mrna,5299.0
Cucumber,after,mrna,mean mrnas per gene,1.0
Cucumber,after,mrna,mean cdss per mrna,1.0
Cucumber,after,mrna,mean exons per mrna,5.3
Cucumber,after,mrna,mean five_prime_utrs per mrna,0.9
Cucumber,after,mrna,mean three_prime_utrs per mrna,0.9
Cucumber,after,mrna,mean exons per cds,4.9
Cucumber,after,mrna,mean exons per five_prime_utr,1.3
Cucumber,after,mrna,mean exons per three_prime_utr,1.2
Cucumber,after,mrna,mean introns in cdss per mrna,3.9
Cucumber,after,mrna,mean introns in exons per mrna,4.3
Cucumber,after,mrna,mean introns in five_prime_utrs per mrna,0.3
Cucumber,after,mrna,mean introns in three_prime_utrs per mrna,0.1
Cucumber,after,mrna,Total gene length (bp),99576153.0
Cucumber,after,mrna,Total mrna length (bp),99576153.0
Cucumber,after,mrna,Total cds length (bp),27284479.0
Cucumber,after,mrna,Total exon length (bp),45020605.0
Cucumber,after,mrna,Total five_prime_utr length (bp),7083206.0
Cucumber,after,mrna,Total three_prime_utr length (bp),10650829.0
Cucumber,after,mrna,Total intron length per cds (bp),47493736.0
Cucumber,after,mrna,Total intron length per exon (bp),54555548.0
Cucumber,after,mrna,Total intron length per five_prime_utr (bp),4385400.0
Cucumber,after,mrna,Total intron length per three_prime_utr (bp),2580612.0
Cucumber,after,mrna,mean gene length (bp),4124.0
Cucumber,after,mrna,mean mrna length (bp),4124.0
Cucumber,after,mrna,mean cds length (bp),1130.0
Cucumber,after,mrna,mean exon length (bp),354.0
Cucumber,after,mrna,mean five_prime_utr length (bp),343.0
Cucumber,after,mrna,mean three_prime_utr length (bp),516.0
Cucumber,after,mrna,mean cds piece length (bp),232.0
Cucumber,after,mrna,mean five_prime_utr piece length (bp),265.0
Cucumber,after,mrna,mean three_prime_utr piece length (bp),441.0
Cucumber,after,mrna,mean intron in cds length (bp),508.0
Cucumber,after,mrna,mean intron in exon length (bp),529.0
Cucumber,after,mrna,mean intron in five_prime_utr length (bp),721.0
Cucumber,after,mrna,mean intron in three_prime_utr length (bp),732.0
Cucumber,after,mrna,median gene length (bp),3028.0
Cucumber,after,mrna,median mrna length (bp),3028.0
Cucumber,after,mrna,median cds length (bp),132.0
Cucumber,after,mrna,median exon length (bp),166.0
Cucumber,after,mrna,median five_prime_utr length (bp),196.0
Cucumber,after,mrna,median three_prime_utr length (bp),333.0
Cucumber,after,mrna,median cds piece length (bp),132.0
Cucumber,after,mrna,median five_prime_utr piece length (bp),196.0
Cucumber,after,mrna,median three_prime_utr piece length (bp),333.0
Cucumber,after,mrna,median intron in cds length (bp),190.0
Cucumber,after,mrna,median intron in exon length (bp),202.0
Cucumber,after,mrna,median intron in five_prime_utr length (bp),372.0
Cucumber,after,mrna,median intron in three_prime_utr length (bp),290.0
Cucumber,after,mrna,90 percentile gene length (bp),8021.0
Cucumber,after,mrna,90 percentile mrna length (bp),8021.0
Cucumber,after,mrna,90 percentile cds length (bp),485.0
